event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Percy Williams;CAN;holland;amsterdam;1928;7;30;10.8;1;0;0
100 metres;Jack London;GBR;holland;amsterdam;1928;7;30;10.9;2;0;0
100 metres;Georg Lammers;GER;holland;amsterdam;1928;7;30;10.9;3;0;0
200 metres;Percy Williams;CAN;holland;amsterdam;1928;8;1;21.8;1;0;0
200 metres;Walter Rangeley;GBR;holland;amsterdam;1928;8;1;21.9;2;0;0
200 metres;Helmut Körnig;GER;holland;amsterdam;1928;8;1;21.9;3;0;0
400 metres;Ray Barbuti;USA;holland;amsterdam;1928;8;3;47.8;1;0;0
400 metres;Jimmy Ball;CAN;holland;amsterdam;1928;8;3;48.0;2;0;0
400 metres;Joachim Büchner;GER;holland;amsterdam;1928;8;3;48.2;3;0;0
800 metres;Douglas Lowe;GBR;holland;amsterdam;1928;7;31;1:51.8;1;0;1
800 metres;Erik Byléhn;SWE;holland;amsterdam;1928;7;31;1:52.8;2;0;0
800 metres;Hermann Engelhard;GER;holland;amsterdam;1928;7;31;1:53.2;3;0;0
1500 metres;Harri Larva;FIN;holland;amsterdam;1928;8;2;3:53.2;1;0;1
1500 metres;Jules Ladoumegue;FRA;holland;amsterdam;1928;8;2;3:53.8;2;0;0
1500 metres;Eino Purje;FIN;holland;amsterdam;1928;8;2;3:56.4;3;0;0
5000 metres;Ville Ritola;FIN;holland;amsterdam;1928;8;3;14:38.0;1;0;0
5000 metres;Paavo Nurmi;FIN;holland;amsterdam;1928;8;3;14:40.0;2;0;0
5000 metres;Edvin Wide;SWE;holland;amsterdam;1928;8;3;14:41.2;3;0;0
10,000 metres;Paavo Nurmi;FIN;holland;amsterdam;1928;7;29;30:18.8;1;0;1
10,000 metres;Ville Ritola;FIN;holland;amsterdam;1928;7;29;30:19.4;2;0;0
10,000 metres;Edvin Wide;SWE;holland;amsterdam;1928;7;29;31:00.8;3;0;0
110 metres hurdles;Sydney Atkinson;RSA;holland;amsterdam;1928;8;1;14.8;1;0;0
110 metres hurdles;Steve Anderson;USA;holland;amsterdam;1928;8;1;14.8;2;0;0
110 metres hurdles;John Collier;USA;holland;amsterdam;1928;8;1;14.9;3;0;0
400 metres hurdles;David Burghley;GBR;holland;amsterdam;1928;7;30;53.4;1;0;1
400 metres hurdles;Frank Cuhel;USA;holland;amsterdam;1928;7;30;53.6;2;0;0
400 metres hurdles;Morgan Taylor;USA;holland;amsterdam;1928;7;30;53.6;3;0;0
3000 metres steeplechase;Toivo Loukola;FIN;holland;amsterdam;1928;8;4;9:21.8;1;1;1
3000 metres steeplechase;Paavo Nurmi;FIN;holland;amsterdam;1928;8;4;9:31.2;2;0;0
3000 metres steeplechase;Ove Andersen;FIN;holland;amsterdam;1928;8;4;9:35.6;3;0;0
Marathon;Boughera El Ouafi;FRA;holland;amsterdam;1928;8;5;2:32:57;1;0;0
Marathon;Manuel Plaza;CHI;holland;amsterdam;1928;8;5;2:33:23;2;0;0
Marathon;Martti Marttelin;FIN;holland;amsterdam;1928;8;5;2:35:02;3;0;0
High jump;Bob King (athlete)Bob King;USA;holland;amsterdam;1928;7;29;1.94;1;0;0
High jump;Benjamin Hedges;USA;holland;amsterdam;1928;7;29;1.91;2;0;0
High jump;Claude Ménard;FRA;holland;amsterdam;1928;7;29;1.91;3;0;0
Pole vault;Sabin Carr;USA;holland;amsterdam;1928;8;1;4.20;1;0;1
Pole vault;William Droegemuller;USA;holland;amsterdam;1928;8;1;4.10;2;0;0
Pole vault;Charles McGinnis;USA;holland;amsterdam;1928;8;1;3.95;3;0;0
Long jump;Edward Hamm;USA;holland;amsterdam;1928;7;31;7.73;1;0;0
Long jump;Silvio Cator;HAI;holland;amsterdam;1928;7;31;7.58;2;0;0
Long jump;Alfred Bates;USA;holland;amsterdam;1928;7;31;7.40;3;0;0
Triple jump;Mikio Oda;JPN;holland;amsterdam;1928;8;2;15.21;1;0;0
Triple jump;Levi Casey;USA;holland;amsterdam;1928;8;2;15.17;2;0;0
Triple jump;Vilho Tuulos;FIN;holland;amsterdam;1928;8;2;15.11;3;0;0
Shot put;John Kuck;USA;holland;amsterdam;1928;7;29;15.87;1;1;1
Shot put;Herman Brix;USA;holland;amsterdam;1928;7;29;15.75;2;0;0
Shot put;Emil Hirschfeld;GER;holland;amsterdam;1928;7;29;15.72;3;0;0
Discus throw;Bud Houser;USA;holland;amsterdam;1928;8;1;47.32;1;0;1
Discus throw;Antero Kivi;FIN;holland;amsterdam;1928;8;1;47.23;2;0;0
Discus throw;James Corson;USA;holland;amsterdam;1928;8;1;47.10;3;0;0
Hammer throw;Pat O'Callaghan;IRL;holland;amsterdam;1928;7;30;51.39;1;0;0
Hammer throw;Ossian Skiöld;SWE;holland;amsterdam;1928;7;30;51.29;2;0;0
Hammer throw;Edmund Black;USA;holland;amsterdam;1928;7;30;49.03;3;0;0
Javelin throw;Erik Lundqvist;SWE;holland;amsterdam;1928;8;2;66.60;1;0;0
Javelin throw;Béla Szepes;HUN;holland;amsterdam;1928;8;2;65.26;2;0;0
Javelin throw;Olav Sunde;NOR;holland;amsterdam;1928;8;2;63.97;3;0;0
