event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Ralph Craig;USA;suede;stockholm;1912;7;7;10.8;1;0;0
100 metres;Alvah Meyer;USA;suede;stockholm;1912;7;7;10.9;2;0;0
100 metres;Donald Lippincott;USA;suede;stockholm;1912;7;7;10.9;3;0;0
200 metres;Ralph Craig;USA;suede;stockholm;1912;7;11;21.7;1;0;0
200 metres;Donald Lippincott;USA;suede;stockholm;1912;7;11;21.8;2;0;0
200 metres;Willie Applegarth;GBR;suede;stockholm;1912;7;11;22.0;3;0;0
400 metres;Charles Reidpath;USA;suede;stockholm;1912;7;13;48.2;1;1;1
400 metres;Hanns Braun;GER;suede;stockholm;1912;7;13;48.3;2;0;0
400 metres;Edward Lindberg;USA;suede;stockholm;1912;7;13;48.4;3;0;0
800 metres;Ted Meredith;USA;suede;stockholm;1912;7;8;1:51.9;1;1;1
800 metres;Mel Sheppard;USA;suede;stockholm;1912;7;8;1:52.0;2;0;0
800 metres;Ira Davenport;USA;suede;stockholm;1912;7;8;1:52.0;3;0;0
1500 metres;Arnold Jackson;GBR;suede;stockholm;1912;7;10;3:56.8;1;0;1
1500 metres;Abel Kiviat;USA;suede;stockholm;1912;7;10;3:56.9;2;0;0
1500 metres;Norman Taber;USA;suede;stockholm;1912;7;10;3:56.9;3;0;0
5000 metres;Hannes Kolehmainen;FIN;suede;stockholm;1912;7;10;14:36.6;1;1;1
5000 metres;Jean Bouin;FRA;suede;stockholm;1912;7;10;14:36.7;2;0;0
5000 metres;George Hutson;GBR;suede;stockholm;1912;7;10;15:07.6;3;0;0
10,000 metres;Hannes Kolehmainen;FIN;suede;stockholm;1912;7;8;31:20.8;1;0;1
10,000 metres;Lewis Tewanima;USA;suede;stockholm;1912;7;8;32:06.6;2;0;0
10,000 metres;Albin Stenroos;FIN;suede;stockholm;1912;7;8;32:21.8;3;0;0
110 metres hurdles;Fred Kelly;USA;suede;stockholm;1912;7;12;15.1;1;0;0
110 metres hurdles;James Wendell;USA;suede;stockholm;1912;7;12;15.2;2;0;0
110 metres hurdles;Martin Hawkins;USA;suede;stockholm;1912;7;12;15.3;3;0;0
Marathon;Ken McArthur;RSA;suede;stockholm;1912;7;14;2:36:54.8;1;0;1
Marathon;Christian Gitsham;RSA;suede;stockholm;1912;7;14;2:37:52.0;2;0;0
Marathon;Gaston Strobino;USA;suede;stockholm;1912;7;14;2:38:42.4;3;0;0
10 kilometres walk;George Goulding;CAN;suede;stockholm;1912;7;11;46:28.4;1;0;0
10 kilometres walk;Ernest Webb;GBR;suede;stockholm;1912;7;11;46:50.4;2;0;0
10 kilometres walk;Fernando Altimani;ITA;suede;stockholm;1912;7;11;47:37.6;3;0;0
Long jump;Albert Gutterson;USA;suede;stockholm;1912;7;12;7.60;1;0;1
Long jump;Calvin Bricker;CAN;suede;stockholm;1912;7;12;7.21;2;0;0
Long jump;Georg Åberg;SWE;suede;stockholm;1912;7;12;7.18;3;0;0
Triple jump;Gustaf Lindblom;SWE;suede;stockholm;1912;7;15;14.76;1;0;0
Triple jump;Georg Åberg;SWE;suede;stockholm;1912;7;15;14.51;2;0;0
Triple jump;Erik Almlöf;SWE;suede;stockholm;1912;7;15;14.17;3;0;0
High jump;Alma Richards;USA;suede;stockholm;1912;7;8;1.93;1;0;1
High jump;Hans Liesche;GER;suede;stockholm;1912;7;8;1.91;2;0;0
High jump;George Horine;USA;suede;stockholm;1912;7;8;1.89;3;0;0
Pole vault;Harry Babcock;USA;suede;stockholm;1912;7;11;3.95;1;0;1
Pole vault;Frank Nelson;USA;suede;stockholm;1912;7;11;3.85;2;0;0
Pole vault;Marc Wright;USA;suede;stockholm;1912;7;11;3.85;2;0;0
Pole vault;William Halpenny;CAN;suede;stockholm;1912;7;11;3.80;3;0;0
Pole vault;Frank Murphy;USA;suede;stockholm;1912;7;11;3.80;3;0;0
Pole vault;Bertil Uggla;SWE;suede;stockholm;1912;7;11;3.80;3;0;0
Shot put;Pat McDonald;USA;suede;stockholm;1912;7;10;15.34;1;0;1
Shot put;Ralph Rose;USA;suede;stockholm;1912;7;10;15.25;2;0;0
Shot put;Lawrence Whitney;USA;suede;stockholm;1912;7;10;13.93;3;0;0
Discus throw;Armas Taipale;FIN;suede;stockholm;1912;7;12;45.21;1;0;1
Discus throw;Richard Byrd;USA;suede;stockholm;1912;7;12;42.32;2;0;0
Discus throw;James Duncan;USA;suede;stockholm;1912;7;12;42.28;3;0;0
Hammer throw;Matt McGrath;USA;suede;stockholm;1912;7;14;54.74;1;0;1
Hammer throw;Duncan Gillis;CAN;suede;stockholm;1912;7;14;48.39;2;0;0
Hammer throw;Clarence Childs;USA;suede;stockholm;1912;7;14;48.17;3;0;0
Javelin throw;Eric Lemming;SWE;suede;stockholm;1912;7;6;60.64;1;0;1
Javelin throw;Julius Saaristo;FIN;suede;stockholm;1912;7;6;58.66;2;0;0
Javelin throw;Mór Kóczán;HUN;suede;stockholm;1912;7;6;55.50;3;0;0
