event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Fanny BlankersKoen;NED;united kingdoms;london;1948;7;31;11.9;1;0;0
100 metres;Dorothy Manley;GBR;united kingdoms;london;1948;7;31;12.2;2;0;0
100 metres;Shirley Strickland;AUS;united kingdoms;london;1948;7;31;12.2;3;0;0
200 metres;Fanny BlankersKoen;NED;united kingdoms;london;1948;8;6;24.4;1;0;1
200 metres;Audrey Williamson;GBR;united kingdoms;london;1948;8;6;25.1;2;0;0
200 metres;Audrey Patterson;USA;united kingdoms;london;1948;8;6;25.2;3;0;0
High jump;Alice Coachman;USA;united kingdoms;london;1948;8;7;1.68;1;0;1
High jump;Dorothy Tyler Odam;GBR;united kingdoms;london;1948;8;7;1.68;2;0;1
High jump;Micheline Ostermeyer;FRA;united kingdoms;london;1948;8;7;1.61;3;0;0
Long jump;Olga Gyarmati;HUN;united kingdoms;london;1948;8;4;5.695;1;0;1
Long jump;Noemí Simonetto de Portela;ARG;united kingdoms;london;1948;8;4;5.60;2;0;0
Long jump;AnnBritt Leyman;SWE;united kingdoms;london;1948;8;4;5.575;3;0;0
Shot put;Micheline Ostermeyer;FRA;united kingdoms;london;1948;8;4;13.75;1;0;1
Shot put;Amelia Piccinini;ITA;united kingdoms;london;1948;8;4;13.09;2;0;0
Shot put;Ine Schäffer;AUT;united kingdoms;london;1948;8;4;13.08;3;0;0
Discus throw;Micheline Ostermeyer;FRA;united kingdoms;london;1948;7;30;41.92;1;0;0
Discus throw;Edera Cordiale;ITA;united kingdoms;london;1948;7;30;41.17;2;0;0
Discus throw;Jacqueline Mazeas;FRA;united kingdoms;london;1948;7;30;40.47;3;0;0
Javelin throw;Herma Bauma;AUT;united kingdoms;london;1948;7;31;45.57;1;0;1
Javelin throw;Kaisa Parviainen;FIN;united kingdoms;london;1948;7;31;43.79;2;0;0
Javelin throw;Lily Carlstedt;DEN;united kingdoms;london;1948;7;31;42.08;3;0;0
