"event";"athlete";"athlete_country";"og_country";"og_city";"year";"month";"day";"performance";"medal";"WR";"OR"
"100 metres";"Helen Stephens";"USA";"germany";"berlin";1936;8;4;"11.5";1;0;0
"100 metres";"Stanisława Walasiewicz";"POL";"germany";"berlin";1936;8;4;"11.7";2;0;0
"100 metres";"Käthe Krauß";"GER";"germany";"berlin";1936;8;4;"11.9";3;0;0
"High jump";"Ibolya Csák";"HUN";"germany";"berlin";1936;8;9;"1.60";1;0;0
"High jump";"Dorothy Tyler Odam";"GBR";"germany";"berlin";1936;8;9;"1.60";2;0;0
"High jump";"Elfriede Kaun";"GER";"germany";"berlin";1936;8;9;"1.60";3;0;0
"Discus throw";"Gisela Mauermayer";"GER";"germany";"berlin";1936;8;4;"47.63";1;0;1
"Discus throw";"Jadwiga Wajs";"POL";"germany";"berlin";1936;8;4;"46.22";2;0;0
"Discus throw";"Paula Mollenhauer";"GER";"germany";"berlin";1936;8;4;"39.80";3;0;0
"Javelin throw";"Tilly Fleischer";"GER";"germany";"berlin";1936;8;2;"45.18";1;0;1
"Javelin throw";"Luise Krüger";"GER";"germany";"berlin";1936;8;2;"43.29";2;0;0
"Javelin throw";"Maria Kwaśniewska";"POL";"germany";"berlin";1936;8;2;"41.80";3;0;0
