event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Reggie Walker;RSA;england;london;1908;7;22;10.8;1;0;1
100 metres;James Rector;USA;england;london;1908;7;22;10.9;2;0;0
100 metres;Robert Kerr;CAN;england;london;1908;7;22;11.0;3;0;0
200 metres;Robert Kerr;CAN;england;london;1908;7;23;22.6;1;0;0
200 metres;Robert Cloughen;USA;england;london;1908;7;23;22.6;2;0;0
200 metres;Nathaniel Cartmell;USA;england;london;1908;7;23;22.7;3;0;0
400 metres;Wyndham Halswelle;GBR;england;london;1908;7;25;50.0;1;0;0
800 metres;Mel Sheppard;USA;england;london;1908;7;21;1:52.8;1;1;1
800 metres;Emilio Lunghi;ITA;england;london;1908;7;21;1:54.2;2;0;0
800 metres;Hanns Braun;GER;england;london;1908;7;21;1:55.2;3;0;0
1500 metres;Mel Sheppard;USA;england;london;1908;7;14;4:03.4;1;0;1
1500 metres;Harold A. Wilson;GBR;england;london;1908;7;14;4:03.6;2;0;0
1500 metres;Norman Hallows;GBR;england;london;1908;7;14;4:04.0;3;0;0
Marathon;Johnny Hayes;USA;england;london;1908;7;24;2:55:18.4;1;1;1
Marathon;Charles Hefferon;RSA;england;london;1908;7;24;2:56:06.0;2;0;0
Marathon;Joseph Forshaw;USA;england;london;1908;7;24;2:57:10.4;3;0;0
110 metres hurdles;Forrest Smithson;USA;england;london;1908;7;25;15.0;1;1;1
110 metres hurdles;John Garrels;USA;england;london;1908;7;25;15.7;2;0;0
110 metres hurdles;Arthur Shaw;USA;england;london;1908;7;25;15.8;3;0;0
400 metres hurdles;Charles Bacon;USA;england;london;1908;7;22;55.0;1;1;1
400 metres hurdles;Harry Hillman;USA;england;london;1908;7;22;55.3;2;0;0
400 metres hurdles;Jimmy Tremeer;GBR;england;london;1908;7;22;57.0;3;0;0
Long jump;Frank Irons;USA;england;london;1908;7;22;7.48;1;0;1
Long jump;Daniel Kelly;USA;england;london;1908;7;22;7.09;2;0;0
Long jump;Calvin Bricker;CAN;england;london;1908;7;22;7.08;3;0;0
Triple jump;Tim Ahearne;GBR;england;london;1908;7;25;14.92;1;0;1
Triple jump;Garfield MacDonald;CAN;england;london;1908;7;25;14.76;2;0;0
Triple jump;Edvard Larsen;NOR;england;london;1908;7;25;14.39;3;0;0
High jump;Harry Porter;USA;england;london;1908;7;21;1.90;1;0;1
High jump;Géo André;FRA;england;london;1908;7;21;1.88;2;0;0
High jump;Con Leahy;GBR;england;london;1908;7;21;1.88;2;0;0
High jump;István Somodi;HUN;england;london;1908;7;21;1.88;2;0;0
Pole vault;Edward Cook;USA;england;london;1908;7;24;3.71;1;0;1
Pole vault;Alfred Carlton Gilbert;USA;england;london;1908;7;24;3.71;1;0;1
Pole vault;Edward Archibald;CAN;england;london;1908;7;24;3.58;3;0;0
Pole vault;Clare Jacobs;USA;england;london;1908;7;24;3.58;3;0;0
Pole vault;Bruno Söderström;SWE;england;london;1908;7;24;3.58;3;0;0
Shot put;Ralph Rose;USA;england;london;1908;7;16;14.21;1;0;0
Shot put;Denis Horgan;GBR;england;london;1908;7;16;13.62;2;0;0
Shot put;John Garrels;USA;england;london;1908;7;16;13.18;3;0;0
Discus throw;Martin Sheridan;USA;england;london;1908;7;16;40.89;1;0;1
Discus throw;Merritt Giffin;USA;england;london;1908;7;16;40.70;2;0;0
Discus throw;Bill Horr;USA;england;london;1908;7;16;39.45;3;0;0
Hammer throw;John Flanagan;USA;england;london;1908;7;14;51.92;1;0;1
Hammer throw;Matt McGrath;USA;england;london;1908;7;14;51.18;2;0;0
Hammer throw;Con Walsh;CAN;england;london;1908;7;14;48.51;3;0;0
Javelin throw;Eric Lemming;SWE;england;london;1908;7;17;54.83;1;1;1
Javelin throw;Arne Halse;NOR;england;london;1908;7;17;50.57;2;0;0
Javelin throw;Otto Nilsson;SWE;england;london;1908;7;17;47.11;3;0;0
