event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Charles Paddock;USA;belgium;antwerp;1920;8;16;10.8;1;0;0
100 metres;Morris Kirksey;USA;belgium;antwerp;1920;8;16;10.9;2;0;0
100 metres;Harry Edward;GBR;belgium;antwerp;1920;8;16;10.9;3;0;0
200 metres;Allen Woodring;USA;belgium;antwerp;1920;8;20;22.0;1;0;0
200 metres;Charles Paddock;USA;belgium;antwerp;1920;8;20;22.0;2;0;0
200 metres;Harry Edward;GBR;belgium;antwerp;1920;8;20;22.2;3;0;0
400 metres;Bevil Rudd;RSA;belgium;antwerp;1920;8;20;49.6;1;0;0
400 metres;Guy Butler;GBR;belgium;antwerp;1920;8;20;50.1;2;0;0
400 metres;Nils Engdahl;SWE;belgium;antwerp;1920;8;20;50.2;3;0;0
800 metres;Albert Hill;GBR;belgium;antwerp;1920;8;17;1:53.4;1;0;0
800 metres;Earl Eby;USA;belgium;antwerp;1920;8;17;1:53.6;2;0;0
800 metres;Bevil Rudd;RSA;belgium;antwerp;1920;8;17;1:53.6;3;0;0
1500 metres;Albert Hill;GBR;belgium;antwerp;1920;8;19;4:01.8;1;0;0
1500 metres;Philip NoelBaker;GBR;belgium;antwerp;1920;8;19;4:02.4;2;0;0
1500 metres;Lawrence Shields;USA;belgium;antwerp;1920;8;19;4:04.3;3;0;0
5000 metres;Joseph Guillemot;FRA;belgium;antwerp;1920;8;17;14:55.6;1;0;0
5000 metres;Paavo Nurmi;FIN;belgium;antwerp;1920;8;17;15:00.0;2;0;0
5000 metres;Eric Backman;SWE;belgium;antwerp;1920;8;17;15:13.0;3;0;0
10,000 metres;Paavo Nurmi;FIN;belgium;antwerp;1920;8;20;31:45.8;1;0;0
10,000 metres;Joseph Guillemot;FRA;belgium;antwerp;1920;8;20;31:47.2;2;0;0
10,000 metres;James Wilson;GBR;belgium;antwerp;1920;8;20;31:50.8;3;0;0
110 metres hurdles;Earl Thomson;CAN;belgium;antwerp;1920;8;18;14.8;1;1;1
110 metres hurdles;Harold Barron;USA;belgium;antwerp;1920;8;18;15.1;2;0;0
110 metres hurdles;Feg Murray;USA;belgium;antwerp;1920;8;18;15.1;3;0;0
400 metres hurdles;Frank Loomis;USA;belgium;antwerp;1920;8;16;54.0;1;0;0
400 metres hurdles;John Norton;USA;belgium;antwerp;1920;8;16;54.6;2;0;0
400 metres hurdles;August Desch;USA;belgium;antwerp;1920;8;16;54.7;3;0;0
3,000 metres steeplechase;Percy Hodge;GBR;belgium;antwerp;1920;8;20;10:00.4;1;0;1
3,000 metres steeplechase;Patrick Flynn;USA;belgium;antwerp;1920;8;20;10:21.1;2;0;0
3,000 metres steeplechase;Ernesto Ambrosini;ITA;belgium;antwerp;1920;8;20;10:32.0;3;0;0
Marathon;Hannes Kolehmainen;FIN;belgium;antwerp;1920;8;22;2:32:35.8;1;1;1
Marathon;Jüri Lossmann;EST;belgium;antwerp;1920;8;22;2:32:48.6;2;0;0
Marathon;Valerio Arri;ITA;belgium;antwerp;1920;8;22;2:36:32.8;3;0;0
3 kilometres walk;Ugo Frigerio;ITA;belgium;antwerp;1920;8;21;13:14.2;1;0;1
3 kilometres walk;George Parker;AUS;belgium;antwerp;1920;8;21;13:19.6;2;0;0
3 kilometres walk;Richard Remer;USA;belgium;antwerp;1920;8;21;13:22.2;3;0;0
10 kilometres walk;Ugo Frigerio;ITA;belgium;antwerp;1920;8;18;48:06.2;1;0;0
10 kilometres walk;Joseph Pearman;USA;belgium;antwerp;1920;8;18;49:40.2;2;0;0
10 kilometres walk;Charles Gunn;GBR;belgium;antwerp;1920;8;18;49:43.9;3;0;0
High jump;Richmond Landon;USA;belgium;antwerp;1920;8;17;1.936;1;0;1
High jump;Harold Muller;USA;belgium;antwerp;1920;8;17;1.90;2;0;0
High jump;Bo Ekelund;SWE;belgium;antwerp;1920;8;17;1.90;3;0;0
Pole vault;Frank Foss;USA;belgium;antwerp;1920;8;20;4.09;1;1;1
Pole vault;Henry Petersen;DEN;belgium;antwerp;1920;8;20;3.70;2;0;0
Pole vault;Edwin Myers;USA;belgium;antwerp;1920;8;20;3.60;3;0;0
Long jump;William Petersson;SWE;belgium;antwerp;1920;8;17;7.15;1;0;0
Long jump;Carl Johnson;USA;belgium;antwerp;1920;8;17;7.095;2;0;0
Long jump;Erik Abrahamsson;SWE;belgium;antwerp;1920;8;17;7.08;3;0;0
Triple jump;Vilho Tuulos;FIN;belgium;antwerp;1920;8;21;14.505;1;0;0
Triple jump;Folke Jansson;SWE;belgium;antwerp;1920;8;21;14.48;2;0;0
Triple jump;Erik Almlöf;SWE;belgium;antwerp;1920;8;21;14.27;3;0;0
Shot put;Ville Pörhölä;FIN;belgium;antwerp;1920;8;18;14.81;1;0;0
Shot put;Elmer Niklander;FIN;belgium;antwerp;1920;8;18;14.155;2;0;0
Shot put;Harry Liversedge;USA;belgium;antwerp;1920;8;18;14.15;3;0;0
Discus throw;Elmer Niklander;FIN;belgium;antwerp;1920;8;22;44.685;1;0;0
Discus throw;Armas Taipale;FIN;belgium;antwerp;1920;8;22;44.19;2;0;0
Discus throw;Gus Pope;USA;belgium;antwerp;1920;8;22;42.13;3;0;0
Hammer throw;Patrick Ryan;USA;belgium;antwerp;1920;8;18;52.875;1;0;0
Hammer throw;Carl Johan Lind;SWE;belgium;antwerp;1920;8;18;48.43;2;0;0
Hammer throw;Basil Bennett;USA;belgium;antwerp;1920;8;18;48.25;3;0;0
Javelin throw;Jonni Myyrä;FIN;belgium;antwerp;1920;8;15;65.78;1;0;1
Javelin throw;Urho Peltonen;FIN;belgium;antwerp;1920;8;15;63.605;2;0;0
Javelin throw;Pekka Johansson;FIN;belgium;antwerp;1920;8;15;63.095;3;0;0
