event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Frank Jarvis;USA;france;paris;1900;7;14;11.0;1;0;0
100 metres;Walter Tewksbury;USA;france;paris;1900;7;14;11.1;2;0;0
100 metres;Stan Rowley;AUS;france;paris;1900;7;14;11.2;3;0;0
200 metres;Walter Tewksbury;USA;france;paris;1900;7;22;22.2;1;0;1
200 metres;Norman Pritchard;IND;france;paris;1900;7;22;22.8;2;0;0
200 metres;Stan Rowley;AUS;france;paris;1900;7;22;22.9;3;0;0
400 metres;Maxie Long;USA;france;paris;1900;7;15;49.4;1;0;1
400 metres;William Holland;USA;france;paris;1900;7;15;49.6;2;0;0
400 metres;Ernst Schultz;DEN;france;paris;1900;7;15;51.5;2;0;0
800 metres;Alfred Tysoe;GBR;france;paris;1900;7;16;2:01.2;1;0;0
800 metres;John Cregan;USA;france;paris;1900;7;16;2:03.0;2;0;0
800 metres;David Hall;USA;france;paris;1900;7;16;2:03.8;3;0;0
1500 metres;Charles Bennett;GBR;france;paris;1900;7;15;4:06.2;1;1;1
1500 metres;Henri Deloge;FRA;france;paris;1900;7;15;4:06.6;2;0;0
1500 metres;John Bray;USA;france;paris;1900;7;15;4:07.2;3;0;0
Marathon;Michel Théato;FRA;france;paris;1900;7;19;2:59:45;1;0;0
Marathon;Émile Champion;FRA;france;paris;1900;7;19;3:04:17;2;0;0
Marathon;Ernst Fast;SWE;france;paris;1900;7;19;3:37:14;3;0;0
110 metres hurdles;Alvin Kraenzlein;USA;france;paris;1900;7;14;15.4;1;0;1
110 metres hurdles;John McLean;USA;france;paris;1900;7;14;15.5;2;0;0
110 metres hurdles;Frederick Moloney;USA;france;paris;1900;7;14;15.6;3;0;0
200 metres hurdles;Alvin Kraenzlein;USA;france;paris;1900;7;16;25.4;1;0;0
200 metres hurdles;Norman Pritchard;IND;france;paris;1900;7;16;26.0;2;0;0
200 metres hurdles;Walter Tewksbury;USA;france;paris;1900;7;16;26.1;3;0;0
400 metres hurdles;Walter Tewksbury;USA;france;paris;1900;7;15;57.6;1;0;0
400 metres hurdles;Henri Tauzin;FRA;france;paris;1900;7;15;58.3;2;0;0
400 metres hurdles;George Orton;CAN;france;paris;1900;7;15;58.8;3;0;0
2500 metres steeplechase;George Orton;CAN;france;paris;1900;7;15;7:34.4;1;0;0
2500 metres steeplechase;Sidney Robinson;GBR;france;paris;1900;7;15;7:38.0;2;0;0
2500 metres steeplechase;Jacques Chastanié;FRA;france;paris;1900;7;15;7:52.4;3;0;0
4000 metres steeplechase;John Rimmer;GBR;france;paris;1900;7;16;12:58.4;1;0;0
4000 metres steeplechase;Charles Bennett;GBR;france;paris;1900;7;16;12:58.6;2;0;0
4000 metres steeplechase;Sidney Robinson;GBR;france;paris;1900;7;16;12:58.8;3;0;0
High jump;Irving Baxter;USA;france;paris;1900;7;15;1.90;1;0;1
High jump;Patrick Leahy;GBR;france;paris;1900;7;15;1.78;2;0;0
High jump;Lajos Gönczy;HUN;france;paris;1900;7;15;1.75;3;0;0
Pole vault;Irving Baxter;USA;france;paris;1900;7;15;3.30;1;0;1
Pole vault;Meredith Colket;USA;france;paris;1900;7;15;3.25;2;0;0
Pole vault;Carl Albert Andersen;NOR;france;paris;1900;7;15;3.20;3;0;0
Long jump;Alvin Kraenzlein;USA;france;paris;1900;7;15;7.185;1;0;1
Long jump;Myer Prinstein;USA;france;paris;1900;7;15;7.175;2;0;0
Long jump;Patrick Leahy;GBR;france;paris;1900;7;15;6.950;3;0;0
Triple jump;Myer Prinstein;USA;france;paris;1900;7;16;14.47;1;0;1
Triple jump;James Connolly;USA;france;paris;1900;7;16;13.97;2;0;0
Triple jump;Lewis Sheldon;USA;france;paris;1900;7;16;13.64;3;0;0
Shot put;Richard Sheldon;USA;france;paris;1900;7;15;14.10;1;0;1
Shot put;Josiah McCracken;USA;france;paris;1900;7;15;12.85;2;0;0
Shot put;Robert Garrett;USA;france;paris;1900;7;15;12.37;3;0;0
Discus throw;Rudolf Bauer;HUN;france;paris;1900;7;15;36.04;1;0;1
Discus throw;František JandaSuk;BOH;france;paris;1900;7;15;35.14;2;0;0
Discus throw;Richard Sheldon;USA;france;paris;1900;7;15;34.60;3;0;0
Hammer throw;John Flanagan;USA;france;paris;1900;7;16;51.01;1;0;1
Hammer throw;Truxtun Hare;USA;france;paris;1900;7;16;46.26;2;0;0
Hammer throw;Josiah McCracken;USA;france;paris;1900;7;16;43.58;3;0;0
