event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Archie Hahn;USA;united states;st louis;1904;9;3;11.0;1;0;0
100 metres;Nathaniel Cartmell;USA;united states;st louis;1904;9;3;11.2;2;0;0
100 metres;William Hogenson;USA;united states;st louis;1904;9;3;11.2;3;0;0
200 metres;Archie Hahn;USA;united states;st louis;1904;8;31;21.6;1;0;1
200 metres;Nathaniel Cartmell;USA;united states;st louis;1904;8;31;21.9;2;0;0
200 metres;William Hogenson;USA;united states;st louis;1904;8;31;22.2;3;0;0
400 metres;Harry Hillman;USA;united states;st louis;1904;8;29;49.2;1;0;1
400 metres;Frank Waller;USA;united states;st louis;1904;8;29;49.9;2;0;0
400 metres;Herman Groman;USA;united states;st louis;1904;8;29;50.0;3;0;0
800 metres;James Lightbody;USA;united states;st louis;1904;9;1;1:56.0;1;0;1
800 metres;Howard Valentine;USA;united states;st louis;1904;9;1;1:56.3;2;0;0
800 metres;Emil Breitkreutz;USA;united states;st louis;1904;9;1;1:56.4;3;0;0
1500 metres;James Lightbody;USA;united states;st louis;1904;9;3;4:05.4;1;1;1
1500 metres;Frank Verner;USA;united states;st louis;1904;9;3;4:06.8;2;0;0
1500 metres;Lacey Hearn;USA;united states;st louis;1904;9;3;4.08;3;0;0
Marathon;Thomas Hicks;USA;united states;st louis;1904;8;30;3:28:53;1;0;0
Marathon;Albert Corey;FRA;united states;st louis;1904;8;30;3:34:52;2;0;0
Marathon;Arthur L. Newton;USA;united states;st louis;1904;8;30;3:47:33;3;0;0
110 metres hurdles;Fred Schule;USA;united states;st louis;1904;9;3;16.0;1;0;0
110 metres hurdles;Thaddeus Shideler;USA;united states;st louis;1904;9;3;16.3;2;0;0
110 metres hurdles;Lesley Ashburner;USA;united states;st louis;1904;9;3;16.4;3;0;0
200 metres hurdles;Harry Hillman;USA;united states;st louis;1904;9;1;24.6;1;0;0
200 metres hurdles;Frank Castleman;USA;united states;st louis;1904;9;1;24.9;2;0;0
200 metres hurdles;George Poage;USA;united states;st louis;1904;9;1;25.1;3;0;0
400 metres hurdles;Harry Hillman;USA;united states;st louis;1904;8;31;53.0;1;0;1
400 metres hurdles;Frank Waller;USA;united states;st louis;1904;8;31;53.2;2;0;0
400 metres hurdles;George Poage;USA;united states;st louis;1904;8;31;56.8;3;0;0
Long jump;Myer Prinstein;USA;united states;st louis;1904;9;1;7.34;1;0;1
Long jump;Daniel Frank;USA;united states;st louis;1904;9;1;6.89;2;0;0
Long jump;Robert Stangland;USA;united states;st louis;1904;9;1;6.88;3;0;0
Triple jump;Myer Prinstein;USA;united states;st louis;1904;9;1;14.32;1;0;0
Triple jump;Fred Englehardt;USA;united states;st louis;1904;9;1;13.90;2;0;0
Triple jump;Robert Stangland;USA;united states;st louis;1904;9;1;13.36;3;0;0
High jump;Samuel Jones;USA;united states;st louis;1904;8;29;1.80;1;0;0
High jump;Garrett Serviss;USA;united states;st louis;1904;8;29;1.77;2;0;0
High jump;Paul Weinstein;GER;united states;st louis;1904;8;29;1.77;3;0;0
Pole vault;Charles Dvorak;USA;united states;st louis;1904;9;3;3.50;1;0;1
Pole vault;LeRoy Samse;USA;united states;st louis;1904;9;3;3.35;2;0;0
Pole vault;Louis Wilkins;USA;united states;st louis;1904;9;3;3.35;3;0;0
Shot put;Ralph Rose;USA;united states;st louis;1904;8;31;14.81;1;1;1
Shot put;Wesley Coe;USA;united states;st louis;1904;8;31;14.40;2;0;0
Shot put;Lawrence Feuerbach;USA;united states;st louis;1904;8;31;13.37;3;0;0
Discus throw;Martin Sheridan;USA;united states;st louis;1904;9;3;39.28;1;0;1
Discus throw;Ralph Rose;USA;united states;st louis;1904;9;3;39.28;2;0;1
Discus throw;Nicolaos Georgandas;GRE;united states;st louis;1904;9;3;37.68;3;0;0
Hammer throw;John Flanagan;USA;united states;st louis;1904;8;29;51.23;1;0;1
Hammer throw;John DeWitt;USA;united states;st louis;1904;8;29;50.26;2;0;0
Hammer throw;Ralph Rose;USA;united states;st louis;1904;8;29;45.73;3;0;0
