event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Harold Abrahams;GBR;france;paris;1924;7;7;10.6;1;0;1
100 metres;Jackson Scholz;USA;france;paris;1924;7;7;10.7;2;0;0
100 metres;Arthur Porritt;NZL;france;paris;1924;7;7;10.8;3;0;0
200 metres;Jackson Scholz;USA;france;paris;1924;7;9;21.6;1;0;1
200 metres;Charlie Paddock;USA;france;paris;1924;7;9;21.7;2;0;0
200 metres;Eric Liddell;GBR;france;paris;1924;7;9;21.9;3;0;0
400 metres;Eric Liddell;GBR;france;paris;1924;7;11;47.6;1;0;1
400 metres;Horatio Fitch;USA;france;paris;1924;7;11;48.4;2;0;0
400 metres;Guy Butler;GBR;france;paris;1924;7;11;48.6;3;0;0
800 metres;Douglas Lowe;GBR;france;paris;1924;7;8;1:52.4;1;0;0
800 metres;Paul Martin;SUI;france;paris;1924;7;8;1:52.6;2;0;0
800 metres;Schuyler Enck;USA;france;paris;1924;7;8;1:53.0;3;0;0
1500 metres;Paavo Nurmi;FIN;france;paris;1924;7;10;3:53.6;1;0;1
1500 metres;Willy Schärer;SUI;france;paris;1924;7;10;3:55.0;2;0;0
1500 metres;H. B. Stallard;GBR;france;paris;1924;7;10;3:55.6;3;0;0
5000 metres;Paavo Nurmi;FIN;france;paris;1924;7;10;14:31.2;1;0;1
5000 metres;Ville Ritola;FIN;france;paris;1924;7;10;14:31.4;2;0;0
5000 metres;Edvin Wide;SWE;france;paris;1924;7;10;15:01.8;3;0;0
10,000 metres;Ville Ritola;FIN;france;paris;1924;7;6;30:23.2;1;1;1
10,000 metres;Edvin Wide;SWE;france;paris;1924;7;6;30:55.2;2;0;0
10,000 metres;Eero Berg;FIN;france;paris;1924;7;6;31:43.0;3;0;0
110 metres hurdles;Daniel Kinsey;USA;france;paris;1924;7;9;15.0;1;0;0
110 metres hurdles;Sid Atkinson;RSA;france;paris;1924;7;9;15.0;2;0;0
110 metres hurdles;Sten Pettersson;SWE;france;paris;1924;7;9;15.4;3;0;0
400 metres hurdles;Morgan Taylor;USA;france;paris;1924;7;7;52.6;1;0;1
400 metres hurdles;Erik Vilen;FIN;france;paris;1924;7;7;53.8;2;0;0
400 metres hurdles;Ivan Riley;USA;france;paris;1924;7;7;54.2;3;0;0
3000 metres steeplechase;Ville Ritola;FIN;france;paris;1924;7;9;9:33.6;1;0;1
3000 metres steeplechase;Elias Katz;FIN;france;paris;1924;7;9;9:44.0;2;0;0
3000 metres steeplechase;Paul Bontemps;FRA;france;paris;1924;7;9;9:45.2;3;0;0
Marathon;Albin Stenroos;FIN;france;paris;1924;7;13;2:41:22.6;1;0;0
Marathon;Romeo Bertini;ITA;france;paris;1924;7;13;2:47:19.6;2;0;0
Marathon;Clarence DeMar;USA;france;paris;1924;7;13;2:48:14.0;3;0;0
10 kilometres walk;Ugo Frigerio;ITA;france;paris;1924;7;13;47:49.0;1;0;0
10 kilometres walk;Gordon Goodwin;GBR;france;paris;1924;7;13;48:37.9;2;0;0
10 kilometres walk;Cecil McMaster;RSA;france;paris;1924;7;13;49:08.0;3;0;0
High jump;Harold Osborn;USA;france;paris;1924;7;7;1.98;1;0;1
High jump;Leroy Brown;USA;france;paris;1924;7;7;1.95;2;0;0
High jump;Pierre Lewden;FRA;france;paris;1924;7;7;1.92;3;0;0
Pole vault;Lee Barnes;USA;france;paris;1924;7;10;3.95;1;0;0
Pole vault;Glenn Graham;USA;france;paris;1924;7;10;3.95;2;0;0
Pole vault;James Brooker;USA;france;paris;1924;7;10;3.90;3;0;0
Long jump;DeHart Hubbard;USA;france;paris;1924;7;8;7.445;1;0;0
Long jump;Edward Gourdin;USA;france;paris;1924;7;8;7.275;2;0;0
Long jump;Sverre Hansen;NOR;france;paris;1924;7;8;7.260;3;0;0
Triple jump;Nick Winter;AUS;france;paris;1924;7;12;15.525;1;1;1
Triple jump;Luis Brunetto;ARG;france;paris;1924;7;12;15.425;2;0;0
Triple jump;Vilho Tuulos;FIN;france;paris;1924;7;12;15.370;3;0;0
Shot put;Bud Houser;USA;france;paris;1924;7;8;14.995;1;0;0
Shot put;Glenn Hartranft;USA;france;paris;1924;7;8;14.895;2;0;0
Shot put;Ralph Hills;USA;france;paris;1924;7;8;14.640;3;0;0
Discus throw;Bud Houser;USA;france;paris;1924;7;13;46.165;1;0;1
Discus throw;Vilho Niittymaa;FIN;france;paris;1924;7;13;44.95;2;0;0
Discus throw;Thomas Lieb;USA;france;paris;1924;7;13;44.83;3;0;0
Hammer throw;Fred Tootell;USA;france;paris;1924;7;10;53.285;1;0;0
Hammer throw;Matt McGrath;USA;france;paris;1924;7;10;50.840;2;0;0
Hammer throw;Malcolm Nokes;GBR;france;paris;1924;7;10;48.875;3;0;0
Javelin throw;Jonni Myyrä;FIN;france;paris;1924;7;6;62.96;1;0;0
Javelin throw;Gunnar Lindström;SWE;france;paris;1924;7;6;60.92;2;0;0
Javelin throw;Eugene Oberst;USA;france;paris;1924;7;6;57.98;3;0;0
