event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Thomas Burke;USA;greece;athens;1896;4;10;12.0;1;0;0
100 metres;Fritz Hofmann;GER;greece;athens;1896;4;10;12.2;2;0;0
100 metres;Francis Lane;USA;greece;athens;1896;4;10;12.6;3;0;0
100 metres;Alajos Szokolyi;HUN;greece;athens;1896;4;10;12.6;3;0;0
400 metres;Thomas Burke;USA;greece;athens;1896;4;7;56.2;1;0;1
400 metres;Herbert Jamison;USA;greece;athens;1896;4;7;58.2;2;0;0
400 metres;Charles Gmelin;GBR;greece;athens;1896;4;7;60.7;3;0;0
800 metres;Edwin Flack;AUS;greece;athens;1896;4;9;2:11.0;1;0;0
800 metres;Nándor Dáni;HUN;greece;athens;1896;4;9;2:11.8;2;0;0
800 metres;Dimitrios Golemis;GRE;greece;athens;1896;4;9;2:28.0;3;0;0
1500 metres;Edwin Flack;AUS;greece;athens;1896;4;7;4:33.2;1;0;1
1500 metres;Arthur Blake;USA;greece;athens;1896;4;7;4:33.6;2;0;0
1500 metres;Albin Lermusiaux;FRA;greece;athens;1896;4;7;4:36.0;3;0;0
110 metre hurdles;Thomas Curtis;USA;greece;athens;1896;4;10;17.6;1;0;1
110 metre hurdles;Grantley Goulding;GBR;greece;athens;1896;4;10;17.6;2;0;0
Marathon;Spiridon Louis;GRE;greece;athens;1896;4;10;2:58:50;1;0;1
Marathon;Charilaos Vasilakos;GRE;greece;athens;1896;4;10;3:06:03;2;0;0
Marathon;Gyula Kellner;HUN;greece;athens;1896;4;10;3:06:35;3;0;0
High jump;Ellery Clark;USA;greece;athens;1896;4;10;21.81;1;0;1
High jump;James Connolly;USA;greece;athens;1896;4;10;1.65;2;0;0
High jump;Robert Garrett;USA;greece;athens;1896;4;10;1.65;2;0;0
Pole vault;William Hoyt;USA;greece;athens;1896;4;10;3.30;1;0;1
Pole vault;Albert Tyler;USA;greece;athens;1896;4;10;3.20;2;0;0
Pole vault;Evangelos Damaskos;GRE;greece;athens;1896;4;10;2.60;3;0;0
Pole vault;Ioannis Theodoropoulos;GRE;greece;athens;1896;4;10;2.60;3;0;0
Long jump;Ellery Clark;USA;greece;athens;1896;4;7;6.35;1;0;1
Long jump;Robert Garrett;USA;greece;athens;1896;4;7;6.00;2;0;0
Long jump;James Connolly;USA;greece;athens;1896;4;7;5.84;3;0;0
Triple jump;James Connolly;USA;greece;athens;1896;4;6;13.71;1;0;1
Triple jump;Alexandre Tuffère;FRA;greece;athens;1896;4;6;12.70;2;0;0
Triple jump;Ioannis Persakis;GRE;greece;athens;1896;4;6;12.52;3;0;0
Shot put;Robert Garrett;USA;greece;athens;1896;4;7;11.22;1;0;1
Shot put;Miltiadis Gouskos;GRE;greece;athens;1896;4;7;11.03;2;0;0
Shot put;Georgios Papasideris;GRE;greece;athens;1896;4;7;10.36;3;0;0
Discus throw;Robert Garrett;USA;greece;athens;1896;4;6;29.15;1;0;1
Discus throw;Panagiotis Paraskevopoulos;GRE;greece;athens;1896;4;6;28.95;2;0;0
Discus throw;Sotirios Versis;GRE;greece;athens;1896;4;6;27.78;3;0;0
