event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Stanisława Walasiewicz;POL;united states;los angeles;1932;8;2;11.9;1;1;1
100 metres;Hilda Strike;CAN;united states;los angeles;1932;8;2;11.9;2;1;1
100 metres;Wilhelmina von Bremen;USA;united states;los angeles;1932;8;2;12.0;3;0;0
High jump;Jean Shiley;USA;united states;los angeles;1932;8;7;1.65;1;1;1
High jump;Babe Didrikson;USA;united states;los angeles;1932;8;7;1.65;2;0;0
High jump;Eva Dawes;CAN;united states;los angeles;1932;8;7;1.60;3;0;0
Discus throw;Lillian Copeland;USA;united states;los angeles;1932;8;2;40.58;1;0;1
Discus throw;Ruth Osburn;USA;united states;los angeles;1932;8;2;40.12;2;0;0
Discus throw;Jadwiga Wajs;POL;united states;los angeles;1932;8;2;38.74;3;0;0
Javelin throw;Babe Didrikson;USA;united states;los angeles;1932;7;31;43.69;1;0;1
Javelin throw;Ellen Braumüller;GER;united states;los angeles;1932;7;31;43.50;2;0;0
Javelin throw;Tilly Fleischer;GER;united states;los angeles;1932;7;31;43.01;3;0;0
