event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Lindy Remigino;USA;finland;helsinki;1952;7;21;10.4;1;0;0
100 metres;Herb McKenley;JAM;finland;helsinki;1952;7;21;10.4;2;0;0
100 metres;McDonald Bailey;GBR;finland;helsinki;1952;7;21;10.4;3;0;0
200 metres;Andy Stanfield;USA;finland;helsinki;1952;7;23;20.7;1;0;0
200 metres;Thane Baker;USA;finland;helsinki;1952;7;23;20.8;2;0;0
200 metres;James Gathers;USA;finland;helsinki;1952;7;23;20.8;3;0;0
400 metres;George Rhoden;JAM;finland;helsinki;1952;7;25;45.9;1;0;1
400 metres;Herb McKenley;JAM;finland;helsinki;1952;7;25;45.9;2;0;0
400 metres;Ollie Matson;USA;finland;helsinki;1952;7;25;46.8;3;0;0
800 metres;Mal Whitfield;USA;finland;helsinki;1952;7;22;1:49.2;1;0;0
800 metres;Arthur Wint;JAM;finland;helsinki;1952;7;22;1:49.4;2;0;0
800 metres;Heinz Ulzheimer;GER;finland;helsinki;1952;7;22;1:49.7;3;0;0
1500 metres;Josy Barthel;LUX;finland;helsinki;1952;7;26;3:45.2;1;0;1
1500 metres;Bob McMillen;USA;finland;helsinki;1952;7;26;3:45.2;2;0;0
1500 metres;Werner Lueg;GER;finland;helsinki;1952;7;26;3:45.4;3;0;0
5000 metres;Emil Zátopek;TCH;finland;helsinki;1952;7;24;14:06.6;1;0;1
5000 metres;Alain Mimoun;FRA;finland;helsinki;1952;7;24;14:07.4;2;0;0
5000 metres;Herbert Schade;GER;finland;helsinki;1952;7;24;14:08.6;3;0;0
10,000 metres;Emil Zátopek;TCH;finland;helsinki;1952;7;20;29:17.0;1;0;1
10,000 metres;Alain Mimoun;FRA;finland;helsinki;1952;7;20;29:32.8;2;0;0
10,000 metres;Aleksandr Anufriyev;URS;finland;helsinki;1952;7;20;29:48.2;3;0;0
110 metres hurdles;Harrison Dillard;USA;finland;helsinki;1952;7;24;13.7;1;0;1
110 metres hurdles;Jack Davis;USA;finland;helsinki;1952;7;24;13.7;2;0;1
110 metres hurdles;Arthur Barnard;USA;finland;helsinki;1952;7;24;14.1;3;0;0
400 metres hurdles;Charles Moore;USA;finland;helsinki;1952;7;21;50.8;1;0;1
400 metres hurdles;Yuriy Lituyev;URS;finland;helsinki;1952;7;21;51.3;2;0;0
400 metres hurdles;John Holland;NZL;finland;helsinki;1952;7;21;52.2;3;0;0
3000 metres steeplechase;Horace Ashenfelter;USA;finland;helsinki;1952;7;25;8:45.4;1;0;1
3000 metres steeplechase;Vladimir Kazantsev;URS;finland;helsinki;1952;7;25;8:51.6;2;0;0
3000 metres steeplechase;John Disley;GBR;finland;helsinki;1952;7;25;8:51.8;3;0;0
Marathon;Emil Zátopek;TCH;finland;helsinki;1952;7;27;2:23:03;1;0;1
