event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
Marathon;Reinaldo Gorno;ARG;finland;helsinki;1952;7;27;2:25:35;2;0;0
Marathon;Gustaf Jansson;SWE;finland;helsinki;1952;7;27;2:26:07;3;0;0
10 kilometres walk;John Mikaelsson;SWE;finland;helsinki;1952;7;27;45:02.8;1;0;1
10 kilometres walk;Fritz Schwab;SUI;finland;helsinki;1952;7;27;45:41.0;2;0;0
10 kilometres walk;Bruno Junk;URS;finland;helsinki;1952;7;27;45:41.0;3;0;0
50 kilometres walk;Giuseppe Dordoni;ITA;finland;helsinki;1952;7;21;4:28:07.8;1;0;1
50 kilometres walk;Josef Doležal;TCH;finland;helsinki;1952;7;21;4:30:17.8;2;0;0
50 kilometres walk;Antal Róka;HUN;finland;helsinki;1952;7;21;4:31:27.2;3;0;0
High jump;Walt Davis;USA;finland;helsinki;1952;7;20;2.04;1;0;1
High jump;Ken Wiesner;USA;finland;helsinki;1952;7;20;2.01;2;0;0
High jump;José da Conceição;BRA;finland;helsinki;1952;7;20;1.98;3;0;0
Pole vault;Bob Richards;USA;finland;helsinki;1952;7;22;4.55;1;0;1
Pole vault;Don Laz;USA;finland;helsinki;1952;7;22;4.50;2;0;0
Pole vault;Ragnar Lundberg;SWE;finland;helsinki;1952;7;22;4.40;3;0;0
Long jump;Jerome Biffle;USA;finland;helsinki;1952;7;21;7.57;1;0;0
Long jump;Meredith Gourdine;USA;finland;helsinki;1952;7;21;7.53;2;0;0
Long jump;Ödön Földessy;HUN;finland;helsinki;1952;7;21;7.30;3;0;0
Triple jump;Adhemar da Silva;BRA;finland;helsinki;1952;7;23;16.22;1;1;1
Triple jump;Leonid Shcherbakov;URS;finland;helsinki;1952;7;23;15.98;2;0;0
Triple jump;Asnoldo Devonish;VEN;finland;helsinki;1952;7;23;15.52;3;0;0
Shot put;Parry O'Brien;USA;finland;helsinki;1952;7;21;17.41;1;0;1
Shot put;Darrow Hooper;USA;finland;helsinki;1952;7;21;17.39;2;0;0
Shot put;Jim Fuchs;USA;finland;helsinki;1952;7;21;17.06;3;0;0
Discus throw;Sim Iness;USA;finland;helsinki;1952;7;22;55.03;1;0;1
Discus throw;Adolfo Consolini;ITA;finland;helsinki;1952;7;22;53.78;2;0;0
Discus throw;James Dillion;USA;finland;helsinki;1952;7;22;53.28;3;0;0
Hammer throw;József Csermák;HUN;finland;helsinki;1952;7;24;60.34;1;1;1
Hammer throw;Karl Storch;GER;finland;helsinki;1952;7;24;58.86;2;0;0
Hammer throw;Imre Németh;HUN;finland;helsinki;1952;7;24;57.74;3;0;0
Javelin throw;Cy Young;USA;finland;helsinki;1952;7;24;73.78;1;0;1
Javelin throw;Bill Miller;USA;finland;helsinki;1952;7;24;72.46;2;0;0
Javelin throw;Toivo Hyytiäinen;FIN;finland;helsinki;1952;7;24;71.89;3;0;0
