event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Jesse Owens;USA;germany;berlin;1936;8;3;10.3;1;0;0
100 metres;Ralph Metcalfe;USA;germany;berlin;1936;8;3;10.4;2;0;0
100 metres;Tinus Osendarp;NED;germany;berlin;1936;8;3;10.5;3;0;0
200 metres;Jesse Owens;USA;germany;berlin;1936;8;5;20.7;1;1;1
200 metres;Mack Robinson;USA;germany;berlin;1936;8;5;21.1;2;0;0
200 metres;Tinus Osendarp;NED;germany;berlin;1936;8;5;21.3;3;0;0
400 metres;Archie Williams;USA;germany;berlin;1936;8;7;46.5;1;0;0
400 metres;Godfrey Brown;GBR;germany;berlin;1936;8;7;46.7;2;0;0
400 metres;James LuValle;USA;germany;berlin;1936;8;7;46.8;3;0;0
800 metres;John Woodruff;USA;germany;berlin;1936;8;4;1:52.9;1;0;0
800 metres;Mario Lanzi;ITA;germany;berlin;1936;8;4;1:53.3;2;0;0
800 metres;Phil Edwards;CAN;germany;berlin;1936;8;4;1:53.6;3;0;0
1500 metres;Jack Lovelock;NZL;germany;berlin;1936;8;6;3:47.8;1;1;1
1500 metres;Glenn Cunningham;USA;germany;berlin;1936;8;6;3:48.4;2;0;0
1500 metres;Luigi Beccali;ITA;germany;berlin;1936;8;6;3:49.2;3;0;0
5000 metres;Gunnar Höckert;FIN;germany;berlin;1936;8;7;14:22.2;1;0;1
5000 metres;Lauri Lehtinen;FIN;germany;berlin;1936;8;7;14:25.8;2;0;0
5000 metres;Henry Jonsson;SWE;germany;berlin;1936;8;7;14:29.0;3;0;0
10,000 metres;Ilmari Salminen;FIN;germany;berlin;1936;8;2;30:15.4;1;0;0
10,000 metres;Arvo Askola;FIN;germany;berlin;1936;8;2;30:15.6;2;0;0
10,000 metres;Volmari IsoHollo;FIN;germany;berlin;1936;8;2;30:20.2;3;0;0
110 metres hurdles;Forrest Towns;USA;germany;berlin;1936;8;6;14.2;1;0;0
110 metres hurdles;Don Finlay;GBR;germany;berlin;1936;8;6;14.4;2;0;0
110 metres hurdles;Fritz Pollard;USA;germany;berlin;1936;8;6;14.4;3;0;0
400 metres hurdles;Glenn Hardin;USA;germany;berlin;1936;8;4;52.4;1;0;0
400 metres hurdles;John Loaring;CAN;germany;berlin;1936;8;4;52.7;2;0;0
400 metres hurdles;Miguel White;PHI;germany;berlin;1936;8;4;52.8;3;0;0
3000 metres steeplechase;Volmari IsoHollo;FIN;germany;berlin;1936;8;8;9:03.8;1;1;1
3000 metres steeplechase;Kaarlo Tuominen;FIN;germany;berlin;1936;8;8;9:06.8;2;0;0
3000 metres steeplechase;Alfred Dompert;GER;germany;berlin;1936;8;8;9:07.2;3;0;0
Marathon;Sohn KeechungSon Kitei;JPN;germany;berlin;1936;8;9;2:29:19.2;1;0;1
Marathon;Ernest Harper;GBR;germany;berlin;1936;8;9;2:31:23.2;2;0;0
Marathon;Nam SungyongNan Shoryu;JPN;germany;berlin;1936;8;9;2:31:42.0;3;0;0
50 kilometres walk;Harold Whitlock;GBR;germany;berlin;1936;8;5;4:30:41.4;1;0;1
50 kilometres walk;Arthur Tell Schwab;SUI;germany;berlin;1936;8;5;4:32:09.2;2;0;0
50 kilometres walk;Adalberts Bubenko;LAT;germany;berlin;1936;8;5;4:32:42.2;3;0;0
High jump;Cornelius Johnson;USA;germany;berlin;1936;8;2;2.03;1;0;1
High jump;Dave Albritton;USA;germany;berlin;1936;8;2;2.00;2;0;0
High jump;Delos Thurber;USA;germany;berlin;1936;8;2;2.00;3;0;0
Pole vault;Earle Meadows;USA;germany;berlin;1936;8;5;4.35;1;0;1
Pole vault;Shuhei Nishida;JPN;germany;berlin;1936;8;5;4.25;2;0;0
Pole vault;Sueo Ōe;JPN;germany;berlin;1936;8;5;4.25;3;0;0
Long jump;Jesse Owens;USA;germany;berlin;1936;8;4;8.06;1;0;1
Long jump;Luz Long;GER;germany;berlin;1936;8;4;7.87;2;0;0
Long jump;Naoto Tajima;JPN;germany;berlin;1936;8;4;7.74;3;0;0
Triple jump;Naoto Tajima;JPN;germany;berlin;1936;8;6;16.00;1;1;1
Triple jump;Masao Harada;JPN;germany;berlin;1936;8;6;15.66;2;0;0
Triple jump;Jack Metcalfe;AUS;germany;berlin;1936;8;6;15.50;3;0;0
Shot put;Hans Woellke;GER;germany;berlin;1936;8;2;16.20;1;0;1
Shot put;Sulo Bärlund;FIN;germany;berlin;1936;8;2;16.12;2;0;0
Shot put;Gerhard Stöck;GER;germany;berlin;1936;8;2;15.66;3;0;0
Discus throw;Ken Carpenter;USA;germany;berlin;1936;8;5;50.48;1;0;1
Discus throw;Gordon Dunn;USA;germany;berlin;1936;8;5;49.36;2;0;0
Discus throw;Giorgio Oberweger;ITA;germany;berlin;1936;8;5;49.23;3;0;0
Hammer throw;Karl Hein;GER;germany;berlin;1936;8;3;56.49;1;0;1
Hammer throw;Erwin Blask;GER;germany;berlin;1936;8;3;55.04;2;0;0
Hammer throw;Fred Warngård;SWE;germany;berlin;1936;8;3;54.83;3;0;0
Javelin throw;Gerhard Stöck;GER;germany;berlin;1936;8;6;71.84;1;0;0
Javelin throw;Yrjo Nikkanen;FIN;germany;berlin;1936;8;6;70.77;2;0;0
Javelin throw;Kalervo Toivonen;FIN;germany;berlin;1936;8;6;70.72;3;0;0
